aah, aah aha
eirssttu, rustiest trusties
rsstu, rusts truss
rstuy, rusty yurts
ekry, ryke yerk
ekrsy, rykes yerks
orty, ryot tory troy tyro
orsty, ryots story stroy troys tyros
aberss, sabers sabres
acehms, sachem samech schema
acehmss, sachems samechs
acehsst, sachets scathes
acekrss, sackers screaks
acfklssu, sackfuls sacksful
adiss, sadis saids
adisst, sadist tsadis
aes, sae sea
aegsst, sagest stages
ailss, sails sials sisal
afiinnos, sainfoin sinfonia
ainss, sains sasin
agiinnst, sainting staining
ainsst, saints satins stains
aeilnss, salines silanes
aailssv, salivas salvias
aadeilstv, salivated validates
aellst, sallet stella
aellsst, sallets stellas
agillnsy, sallying signally slangily
alnoss, salons solans
alnoos, saloon solano
alnooss, saloons solanos
alpss, salps slaps
aeilst, saltie stelai
aeilsstt, saltiest slatiest
aeilnssst, saltiness stainless
ahilsst, saltish tahsils
alsty, salty slaty
aelsstu, salutes taluses
adelsv, salved slaved
aelrssv, salvers servals slavers
aelssv, salves slaves valses
agilnsv, salving slaving
alorsv, salvor valors
aehimprs, samphire seraphim
aehimprss, samphires seraphims
ampss, samps spasm
ahmssu, samshu shamus
admnorsw, sandworm swordman
aenss, sanes sensa
ainossu, sanious suasion
ainsty, sanity satiny
annpsu, sannup unsnap
annpssu, sannups unsnaps
alnost, santol talons tolans
aoprssu, sapours upsoars
acorssu, sarcous soucars
aemnrsst, sarments smartens
aenrss, sarsen snares
ast, sat tas
acehlsst, satchels slatches
aiirsstt, satirist sitarist
aiirssstt, satirists sitarists
aaersttu, saturate tuateras
arsty, satyr stray trays
arssty, satyrs strays
aceisstu, sauciest suitcase
alstu, sault talus
alsstu, saults tussal
aeginstu, sauteing unitages
aessv, saves vases
ainsv, savin vinas
aeinssv, savines vinasse
aiorsuv, saviour various
aeiorsstv, savoriest travoises
asw, saw was
adesw, sawed wades
aginsw, sawing wigans
aerswy, sawyer swayer
aersswy, sawyers swayers
aessty, sayest yeasts
assty, sayst stays
acdeps, scaped spaced
acepss, scapes spaces
acginps, scaping spacing
aceprrss, scarpers scrapers
acprss, scarps scraps
acginrst, scarting tracings
acstt, scatt tacts
acelprst, sceptral spectral
ceehmrs, schemer schmeer
ceehmrss, schemers schmeers
chisst, schist stichs
cehmooss, schmoose smooches
ciilosst, sciolist solicits
cinoss, scions sonics
ceeilrsst, sclerites trisceles
ceelorsss, scleroses scoreless
cfloopssu, scoopfuls scoopsful
cegorsu, scourge scrouge
cdegorsu, scourged scrouged
cegorssu, scourges scrouges
cgginorsu, scourging scrouging
cehorstu, scouther touchers
cdeeenrs, screened secerned
ceeginnrs, screening secerning
cdeeirsv, scrieved serviced
ceeirssv, scrieves services
cegiinrsv, scrieving servicing
cdeklsu, sculked suckled
ceklrsu, sculker suckler
ceklrssu, sculkers sucklers
cgiklnsu, sculking suckling
aeeimrs, seamier seriema
aaeelnps, seaplane spelaean
adeest, seated sedate teased
aaeerstw, seawater teawares
adeeessw, seaweeds seesawed
ceeersst, secretes sesterce
ceeinrsst, secretins sincerest
adeginst, sedating steading
deenrsstu, sederunts undersets
eegikns, seeking skeeing
eekss, seeks skees
eemss, seems semes
deeehst, seethed sheeted
eeghinst, seething sheeting
egins, segni sengi singe
egiinorss, seigniors signories
eeinrss, seiners sereins serines
eeirss, seiser series sirees
abeeilsz, seizable sizeable
elnsssy, selsyns slyness
eelssv, selves vessel
aenrsy, senary yearns
denss, sends sneds
einorss, seniors sonsier
einnst, sennit tennis
enors, senor snore
enorss, senors sensor snores
aelnssu, sensual unseals
cdeeennst, sentenced tendences
aceilpst, septical tieclasp
ceehlprsu, sepulcher sepulchre
ceehlprssu, sepulchers sepulchres
eeenrrs, serener sneerer
egginrss, sergings sniggers
aeerrst, serrate tearers
aenrstv, servant taverns versant
aenrsstv, servants versants
eersv, serve sever veers verse
deersv, served versed
eerrssv, servers versers
eerssv, serves severs verses
eginrsv, serving versing
eorssv, servos versos
eesstt, sestet testes tsetse
eessstt, sestets tsetses
aeest, setae tease
eeilnst, setline tensile
eosstu, setous touses
eeestt, settee testee
eeesstt, settees testees
eginstt, setting testing
eelrsstt, settlers sterlets trestles
epstu, setup stupe upset
epsstu, setups stupes upsets
aensw, sewan wanes weans
deesw, sewed swede weeds
eginsw, sewing swinge
eginssw, sewings swinges
ahmss, shams smash
aehppsu, shapeup upheaps
aeghinrstt, shattering straighten
adehsw, shawed washed
aghinsw, shawing washing
aghilnsw, shawling whalings
ahmsw, shawm whams
ahssw, shaws swash
eehnss, sheens sneesh
eeehrsst, sheerest sheeters
eehst, sheet these
eeghinsst, sheetings sightseen
eehsst, sheets theses
ehikss, sheiks shikse
aehinst, sheitan sthenia
dehrss, sherds shreds
ehnsw, shewn whens
ehinrs, shiner shrine
ehinrss, shiners shrines
hinss, shins sinhs
hirsty, shirty thyrsi yirths
ghiinstt, shitting tithings
ehirsv, shiver shrive
deehirsv, shivered shrieved
eghiinrsv, shivering shrieving
ehirssv, shivers shrives
ghinoost, shooting soothing
hoosst, shoots sooths
hopss, shops sophs
ahiorst, shortia thorias
ehosst, shotes toshes
ghinostt, shotting tonights
hostu, shout south thous
dehostu, shouted southed
ehorstu, shouter souther
ehorsstu, shouters southers
ghinostu, shouting southing
hosstu, shouts souths
ehikrss, shrieks shrikes
hlssu, shuls slush
dehstu, shuted tushed
ehsstu, shutes tushes tusseh
ghinstu, shuting tushing unsight
ehrssty, shyster thyrses
aciils, sialic silica
cdeikls, sickled slicked
adeiswy, sideway wayside
adeisswy, sideways waysides
deilrss, sidlers sliders
deilss, sidles slides
dgiilns, sidling sliding
aeisst, siesta tassie
aeissst, siestas tassies
egiinsv, sieving viseing
ggiinns, signing singing
ginss, signs sings
eikss, sikes skies
eillnsty, silently tinselly
illsy, silly slily yills
giilnos, siloing soiling
iloss, silos soils
ilsty, silty styli
ailsv, silva vails vials
aeilsv, silvae valise
egiilnrsv, silvering slivering
eilrssv, silvers slivers
einsw, sinew swine wines
fillnsuy, sinfully sulfinyl
ggiilnns, singling slinging
iknss, sinks skins
deips, siped spied
eipss, sipes spies
dehinops, siphoned sphenoid
hinopss, siphons sonship
irs, sir sri
irss, sirs sris
eilrssty, sisterly styliser
airsst, sistra sitars stairs
imrsstu, sistrum trismus truisms
eist, site ties
eisst, sites sties
eirstt, sitter titers titres triste
isstu, situs suits
eissstu, situses tissues
isx, six xis
istxy, sixty xysti
aekst, skate stake steak takes teaks
adekst, skated staked tasked
aekrst, skater strake streak takers
aekrsst, skaters strakes streaks
aeksst, skates stakes steaks
agiknst, skating staking takings tasking
aksst, skats tasks
aeknss, skeans snakes sneaks
eeknss, skeens skenes
eeksst, skeets steeks
ikpss, skips spiks
eikrrst, skirret skirter striker
eikrrsst, skirrets skirters strikers
ikrst, skirt stirk
giiknrst, skirting striking
ikrsst, skirts stirks
giiknsv, skiving vikings
aceklsst, slackest tackless
aegilnsst, slangiest stealings tasseling
aelsvy, slavey sylvae
eelpss, sleeps speels
eeeilsstt, sleetiest steeliest
eelsst, sleets steels steles
eelsty, sleety steely
deelsw, slewed wedels
egilnsw, slewing swingle
ceiklsst, slickest stickles
giilmns, sliming smiling
aceilpss, slipcase specials
ilpst, slipt spilt split
ailpswy, slipway waspily
deilstt, slitted stilted
giilnstt, slitting stilting
loopss, sloops spools
elnosssw, slowness snowless
elssty, slyest styles
elpsy, slype yelps
adeemnrst, smartened tradesmen
eimsst, smites stimes tmesis
aknsy, snaky yanks
aelnpsss, snapless spanless
anpss, snaps spans
acdehnst, snatched stanched
acehnrsst, snatchers stanchers
acghinnst, snatching stanching
anssw, snaws swans
adeenps, sneaped speaned
aeginnps, sneaping speaning
deinps, sniped spined
einpss, snipes spines
inpss, snips spins
lnooss, snools solons
denoops, snooped spooned
einoopsst, snoopiest spooniest
ilnoopsy, snoopily spoonily
ginnoops, snooping spooning
noopss, snoops spoons
noopsy, snoopy spoony
noost, snoot toons
noosty, snooty toyons
enorrs, snorer sorner
enorrss, snorers sorners
ginnors, snoring sorning
nost, snot tons
einorstt, snottier tritones
nostu, snout tonus
ensy, snye syne yens
aorss, soars soras
adlnos, soland soldan
adlnoss, solands soldans
deilors, soldier solider
ceilosst, solecist solstice
ceilossst, solecists solstices
aeiilorsst, solitaires solitaries
deilostu, solitude toluides
lossu, solus souls
elostu, solute tousle
belmorsy, somberly sombrely
ennost, sonnet tenons tonnes
einossst, sonsiest stenosis
eioosstt, sootiest tootsies
oosty, sooty toyos
beorst, sorbet strobe
beorsst, sorbets strobes
eioprstv, sorptive sportive
eiorst, sortie tories triose
ginorst, sorting storing trigons
orssu, sorus sours
loosst, sotols stools
osst, sots toss
dginnosu, sounding undoings
osw, sow wos
adeps, spade spaed
adeprss, spaders spreads
aeginps, spaeing spinage
aeginpss, spaeings spinages
agilnprss, sparlings springals
aeprssst, sparsest trespass
aeprsstt, spatters tapsters
aginnpsw, spawning wingspan
deeeprs, speeder speered
deeilps, speiled spieled
egiilnps, speiling spieling
egiinprs, speiring spiering
ehprsy, sphery sypher
eeiklpst, spikelet steplike
deilnps, spindle splined
ddeilnps, spindled splendid
eilnpssu, spinules splenius
iprst, spirt sprit stirp strip trips
deiprst, spirted striped
giinprst, spirting striping
iprsst, spirts sprits stirps strips
eipst, spite stipe
deipst, spited stiped
eipsst, spites stipes
eiprstt, spitter tipster
eiprsstt, spitters tipsters
aelprsstt, splatters sprattles
eilprstt, splitter triplets
flnoopssu, spoonfuls spoonsful
oprsst, sports strops
ghilopstt, spotlight stoplight
ghilopsstt, spotlights stoplights
opsstu, spouts stoups tossup uptoss
aprsst, sprats straps
ghilprsty, sprightly triglyphs
oprstu, sprout stupor
oprsstu, sprouts stupors
epsu, spue supe
eimprsu, spumier umpires
eiprrssu, spurries surprise uprisers
prstu, spurt turps
apstu, sputa stupa
aaccostt, staccato stoccata toccatas
aaccosstt, staccatos stoccatas
ackst, stack tacks
adesst, stades steads tsades
aklst, stalk talks
aeklrst, stalker talkers
agiklnst, stalking talkings
aailmnst, staminal talisman
ampst, stamp tamps
adeempst, stampede stepdame
adeempsst, stampedes stepdames
aknst, stank tanks
admorst, stardom tsardom
admorsst, stardoms tsardoms
aersstt, starets staters tasters
aelrsstt, starlets startles
aeirrrst, starrier tarriers
arsst, stars trass tsars
arstt, start tarts
aderstt, started tetrads
aestt, state taste tates teats testa
adestt, stated tasted
aelstty, stately stylate
aeemnsttt, statement testament
aeemnssttt, statements testaments
aerstt, stater taster taters tetras treats
aesstt, states tasset tastes
aginstt, stating tasting
aeissttv, statives vastiest
assttu, status suttas
aestttu, statute tautest
acdehnstu, staunched unscathed
aestv, stave vesta
aesstv, staves vestas
astw, staw swat taws twas wast wats
adesty, stayed steady
aginsty, staying stygian
aeelrsst, stealers tearless
aeilmsty, steamily taleysim
eeestv, steeve vestee
eeesstv, steeves vestees
ceinostt, stenotic tonetics
estt, stet test
esstt, stets tests
enosstt, stetson testons
estw, stew tews west wets
aderstw, steward strawed
deestw, stewed tweeds
eginstw, stewing twinges westing
esstw, stews wests
esty, stey stye tyes
cikst, stick ticks
cgiiknst, sticking tickings
ceiklst, stickle tickles
ceiklrst, stickler strickle ticklers trickles
ceiklrsst, sticklers strickles
ffist, stiff tiffs
beeilnst, stilbene tensible
ilstt, stilt tilts
ginst, sting tings
eginrsst, stingers trigness
ginosst, stingos tossing
aginrsty, stingray straying
ginsty, stingy stying
instt, stint tints
giinnstt, stinting tintings
eilpsst, stipels tipless
eilppst, stipple tipples
deirrst, stirred strider
eirsstv, stivers strives verists
aostt, stoat toast
aosstt, stoats toasts
ekost, stoke tokes
ekorst, stoker stroke trokes
ekorsst, stokers strokes
elost, stole telos toles
emoprst, stomper trompes
deloost, stooled toledos
gilnoost, stooling toolings
oopst, stoop topos
eopprst, stopper toppers
ginoppst, stopping toppings
eloppst, stopple topples
korst, stork torsk
korsst, storks torsks
ginorsty, storying stroying
osttu, stout touts
enosttu, stouten tenutos
eostv, stove votes
eorstv, stover strove troves voters
eorsstv, stovers votress
ostw, stow swot tows twos wost wots
aegostw, stowage towages
aaostwwy, stowaway towaways
osstw, stows swots
agiinnrst, straining trainings
aeirrstt, straiter tarriest
aeglnrst, strangle tanglers
aepprrst, strapper trappers
aginpprst, strapping trappings
arstw, straw swart warts
arstwy, strawy swarty wastry
aersttt, stretta tartest tatters
eersttt, strette tetters
eirsttt, stretti titters tritest
eorsttt, stretto totters
erstw, strew trews wrest
deerstw, strewed wrested
eerrstw, strewer wrester
eerrsstw, strewers wresters
eginrstw, strewing wresting
ersstw, strews wrests
adeirstt, striated tardiest
cikrst, strick tricks
deinrstt, strident tridents
eipprrst, stripper trippers
giinpprst, stripping trippings
llorst, stroll trolls
ellorrst, stroller trollers
gillnorst, strolling trollings
glnorsty, strongly strongyl
orstw, strow trows worst worts
deorstw, strowed worsted
ginorstw, strowing worsting
orsstw, strows worsts
ckrstu, struck trucks
emprsttu, strumpet trumpets
rsttu, strut sturt trust
rssttu, struts sturts trusts
bbeirstu, stubbier subtribe
ckstu, stuck tucks
ddeistu, studdie studied
densttu, student stunted
deisstu, studies tissued
ffstu, stuff tuffs
belmstu, stumble tumbles
belmrstu, stumbler tumblers tumbrels
bgilmnstu, stumbling tumblings
mpstu, stump tumps
emprstu, stumper sumpter
emprsstu, stumpers sumpters
gnstu, stung tungs
eilstty, stylite testily
eenrsty, styrene yestern
abelsu, suable usable
ablsuy, suably usably
aesuv, suave uveas
bbdesu, subbed subdeb
abdensu, subdean unbased
bciopstu, suboptic subtopic
beilssttu, subtilest subtitles
esu, sue use
essu, sues uses
ginsu, suing using
instu, suint units
istu, suit tuis
eisstu, suites tissue
giinsstu, suitings tissuing
aegllsu, sullage ullages
aaelnssttu, sultanates tantaluses
mpsu, sump umps
bdennrsuu, sunburned unburdens
denrssu, sunders undress
einnrsu, sunnier unrisen
fnoorsu, sunroof unroofs
mnoorsu, sunroom unmoors
ensstu, sunset unsets
nopsstu, sunspot unstops
adnrsuw, sunward undraws
eopprrstu, superport supporter
eopprrsstu, superports supporters
epprsu, supper uppers
ginppsu, supping uppings
arsu, sura ursa
acorstu, surcoat turacos
drsu, surd urds
erstuy, surety tuyers
efirsstu, surfeits surfiest
egrsu, surge urges
egrrsu, surger urgers
denpssu, suspend upsends
giinprssu, suspiring uprisings
arsstu, sutras tarsus tussar
asttu, sutta tauts
eesttu, suttee tutees
erstuu, suture uterus
absw, swab wabs
agsw, swag wags
aegsw, swage wages
aegrsw, swager wagers
aeggrsw, swagger waggers
ailsw, swail wails
ainsw, swain wains
aelsw, swale wales weals
allosww, swallow wallows
apssw, swaps wasps
addersw, swarded wadders
amrsw, swarm warms
ahrstw, swarth thraws wraths
aghinssw, swashing washings
ahstw, swath thaws whats
aehstw, swathe wheats
aehrstw, swather thawers wreaths
asstw, swats wasts
aswy, sway ways yaws
aeerrsw, swearer wearers
aestw, sweat tawse twaes waste
aeeirstw, sweatier wasterie weariest
aesstw, sweats tawses wastes
eenswy, sweeny weensy
eepsw, sweep weeps
eeeprsw, sweeper weepers
eestw, sweet weest weets
eeenssstw, sweetness wetnesses
ellsw, swell wells
eelrstw, swelter welters wrestle
eelrsstw, swelters wrestles
gisw, swig wigs
gggiinsw, swigging wiggings
illsw, swill wills
eillrsw, swiller willers
deilnsw, swindle windles
deilnssw, swindles wildness windless
dgiilnnsw, swindling windlings
ginsw, swing wings
eginrsw, swinger wingers
egilnssw, swingles wingless
iknsw, swink winks
eipsw, swipe wipes
deipsw, swiped wisped
giinpsw, swiping wisping
deilrsw, swirled wilders
ehirssw, swisher wishers
cghiinstw, switching witchings
histw, swith whist whits
ehistw, swithe whites withes
ehirstw, swither withers writhes
eisvw, swive views wives
oopsw, swoop woops
dorsw, sword words
dnosuw, swound wounds
denosuw, swouned unsowed
ilnsvy, sylvin vinyls
deginrsy, synergid syringed
elossty, systole toyless
abefllstu, tablefuls tablesful
acett, tacet tecta
acinrttu, taciturn urticant
acdeklt, tackled talcked
acgiklnt, tackling talcking
accitt, tactic tictac
accistt, tactics tictacs
aeillt, taille telial
aeillst, tailles tallies
aintt, taint titan
ainstt, taints tanist titans
aekt, take teak
allotwy, tallowy tollway
agnot, tango tonga
agnost, tangos tongas
aagmnrt, tangram trangam
aagmnrst, tangrams trangams
aennstt, tannest tenants
aaanrtt, tantara tartana
aaanrstt, tantaras tarantas tartanas
adeirrt, tardier tarried
akort, tarok troak
akorst, taroks troaks
aeirrst, tarries tarsier
aelrttt, tartlet tattler
aelrsttt, tartlets tattlers
aett, tate teat
aertt, tater tetra treat
